oos_date,break_date,t_post,break_idx
2023-02-27,2005-11-11,4140,2085
2023-03-27,2005-11-11,4160,2085
2023-04-24,2005-11-11,4179,2085
2023-05-22,2005-11-11,4199,2085
2023-06-19,2005-11-11,4218,2085
2023-07-17,2005-11-11,4238,2085
2023-08-14,2005-11-11,4258,2085
2023-09-11,2005-11-11,4278,2085
2023-10-09,2005-11-11,4298,2085
2023-11-06,2005-11-11,4318,2085
2023-12-04,2005-11-11,4338,2085
2024-01-29,2005-11-11,4375,2085
2024-02-26,2017-12-21,1579,4903
2024-03-25,2022-09-23,385,6117
2024-04-22,2022-09-23,403,6117
2024-05-20,2022-09-23,422,6117
2024-06-17,2022-09-23,441,6117
2024-07-15,2022-09-23,461,6117
2024-09-09,2022-09-23,500,6117
2024-10-07,2022-09-23,520,6117
2024-11-04,2022-09-23,540,6117
2024-12-02,2022-09-23,556,6117
2024-12-30,2022-09-23,575,6117
2025-01-27,2022-09-23,594,6117
